"sf","sm","hf","hm","r","Xm","Xf","Y"
0.05,0.05,0.25,0.25,0.002,0.1133208730518253178184628125734641342939080987502,0.1102740294843221572257331586341090975520504630252,0.94975450197341592100121490585022276552951596130516
0.05,0.05,0.25,0.25,0.004,0.1854449894798253541100427229180272598942099912092,0.180315371210071356102353783226965138885896368602,0.90415135870194489983970433318945395110891859620924
0.05,0.05,0.25,0.25,0.006,0.2388806239124570324785046953887505427250009046474,0.232210540680670044307352598534180491289884940939,0.86334107573384667899244944098187337652687430622114
0.05,0.05,0.25,0.25,0.008,0.2802241995163969766255230971522280396116340029503,0.2723944729269684763866648338509920962900712177955,0.82733897429650402406357374926117147543805468280745
0.05,0.05,0.25,0.25,0.01,0.3128524264155952189761053782364212678075123852294,0.3041419563338632359205317661719257291810220450363,0.79591321105225247968237781039193680849146060056364
0.05,0.05,0.25,0.25,0.012,0.3389341041208622148110025445860865290160583971704,0.3295488147714335835073730471573332729070484103815,0.76865368928970534762969068607702421033881764563337
0.05,0.05,0.25,0.25,0.014,0.3600085651325590272668585286047315155184289386898,0.3501008207358633373383434845438891741888698848861,0.74506524744793284710395381644806601997809318334171
0.05,0.05,0.25,0.25,0.016,0.3772134701570819396753480651026403297415047406474,0.3668963990216803278074599258002585607352696614128,0.72464174444830093856982552288388938450364879483316
0.05,0.05,0.25,0.25,0.018,0.3914029805667430485896038048350109127386008837951,0.3807611144321764530917721716686295841101294235187,0.70691109909675922939016607111643692170304580895478
0.05,0.05,0.25,0.25,0.02,0.4032231204999406177147689724683491680605589982272,0.39232018581217749843034654916076988788585368503,0.69145617604869896260709117904989921532679057615433
0.05,0.05,0.25,0.25,0.022,0.4131651913303266220611026674061386809396543707712,0.4020497402114599062755221629135667285624446709799,0.67792009189232020423948854756391140568225322971496
0.05,0.05,0.25,0.25,0.024,0.4216050569559624626086226053162481953909259932801,0.4103145078179315197014816043771663963464142738448,0.6660031707900530009386892950766932016555329528133
0.05,0.05,0.25,0.25,0.026,0.4288322569242485206388619068800024984025943618938,0.417395790155951116265097114872450647399273948214,0.65545628510385622038187425455955770235429397270098
0.05,0.05,0.25,0.25,0.028,0.4350715607777877846102651212440606901666273414434,0.4235122006254962716811038209736198441804797802435,0.64607323910972812668209163906712544640628901895568
0.05,0.05,0.25,0.25,0.03,0.4404989035409973995677918314318186234478098580602,0.4288350244176212825486152633567509934894084525704,0.63768349849979837546636944265180404592236103964246
0.05,0.05,0.25,0.25,0.032,0.4452531728255203397144211035247842085433441566654,0.4334995983008813440585762763532767220912681298841,0.63014579553702272847799777851490753273150228703527
0.05,0.05,0.25,0.25,0.034,0.4494449507819593012830719464049116343466797654204,0.4376137630584691446253716538111740923992904865716,0.62334274183747048573893251356800690927748612509978
0.05,0.05,0.25,0.25,0.036,0.4531630267404813806430440623254597348796025422015,0.4412641689375497292320332439918505323703934051443,0.61717639723649036326177441478062756504239636377568
0.05,0.05,0.25,0.25,0.038,0.4564792773118790808579647938880269556495839760157,0.4445210062320401828772054665991229963084017863309,0.61156467258936931405459048883310322660363419311299
0.05,0.05,0.25,0.25,0.04,0.4594523477476686045626688294506313087328958161812,0.4474415777464030735275706306594207687948106601745,0.60643842885286961172059671067234442508802590104905
0.05,0.05,0.25,0.25,0.042,0.4621304491770900971948428813075652755314123721725,0.4500730159553540307648376328806289168093030991647,0.60173914360996173693036184305881787006759719276911
0.05,0.05,0.25,0.25,0.044,0.4645535000798296920965630158688337414033837536541,0.4524543650152643439211509579106305288532557142328,0.59741703386014277678063717953952090291941766048252
0.05,0.05,0.25,0.25,0.046,0.4667547782386354647168622632455272439304326911817,0.4546181881353486065927275254937680717233464694813,0.59342954311332401882047717578781197542852130266976
0.05,0.05,0.25,0.25,0.048,0.4687622047440618798151166450890764172401299342121,0.4565918178399232520642971756542947686593648298251,0.58974011849516753434200816716527603247962708778932
0.05,0.05,0.25,0.25,0.05,0.470599349449736631096068707380602072289807589521,0.4583983356498957845982337850942856092323342101493,0.58631721863948505324723852641848545187411847639889
0.05,0.05,0.25,0.25,0.052,0.4722862240268670732062416528293566764569057509401,0.4600573452758459704162162780754759219902873144607,0.58313350549009715889877514642366204381112333382269
0.05,0.05,0.25,0.25,0.054,0.4738399118880898317177058127892544861747478152943,0.4615855871065251975495936737550876929519182902945,0.58016518302662212711318460740062087738118415656868
0.05,0.05,0.25,0.25,0.056,0.4752750719300370052590713617975521652573060164612,0.462997429858413551961174592426856464190648668937,0.57739145375285211602537722668667649104514408114175
0.05,0.05,0.25,0.25,0.058,0.4766043439959148064071443171454565564789427945443,0.4643052664905210198077897974307972191606438480283,0.57479406993162347755041145467279238978928278267502
0.05,0.05,0.25,0.25,0.06,0.4778386772722456883228064151359983621152168760094,0.4655198350072885969534340806745631214819175084218,0.57235696136067347537097801185495982462681851940096
0.05,0.05,0.25,0.25,0.062,0.4789875978592463229816385958795976219124579886401,0.4666504799467997859316521728040377774498117560794,0.57006592524647593442647455020964406060221355178171
0.05,0.05,0.25,0.25,0.064,0.4800594280290665974670215140517424455033369808647,0.4677053667350798487409517660137823078632827804334,0.56790836667809215423096417019257087097356338920814
