"sf","sm","hf","hm","r","sI"
0.05263157894736842,0.05,0.5,0.5,0.002,0.001860294291448697040800999878267256411365315556758
0.05263157894736842,0.05,0.5,0.5,0.004,0.003449668727677414385645759683550028718733096102015
0.05263157894736842,0.05,0.5,0.5,0.006,0.004791567689757114809421780235712247060456551055615
0.05263157894736842,0.05,0.5,0.5,0.008,0.005918481472427439071853579143231156070542383845442
0.05263157894736842,0.05,0.5,0.5,0.01,0.006865442995627989962513944738356643018928359133995
0.05263157894736842,0.05,0.5,0.5,0.012,0.007665361558265595179593322315078654851433077366226
0.05263157894736842,0.05,0.5,0.5,0.014,0.008346690664167451530913534133688091177464842551995
0.05263157894736842,0.05,0.5,0.5,0.016,0.00893283811332025093661129005694002465970120996545
0.05263157894736842,0.05,0.5,0.5,0.018,0.009442523729346317524335272266116963488145775787942
0.05263157894736842,0.05,0.5,0.5,0.02,0.009890505016560984628044176644272494596722131861727
0.05263157894736842,0.05,0.5,0.5,0.022,0.01028835351691296955572475440278702818443275671802
0.05263157894736842,0.05,0.5,0.5,0.024,0.010645145387844616164281283902703851991474967223922
0.05263157894736842,0.05,0.5,0.5,0.026,0.010968026701339588517763205153621702602711767858722
0.05263157894736842,0.05,0.5,0.5,0.028,0.011262657156491045698460111159889733453185536767478
0.05263157894736842,0.05,0.5,0.5,0.03,0.011533551012885473457525955394821954475335430926885
0.05263157894736842,0.05,0.5,0.5,0.032,0.01178433651655880324344953810104970925528965765331
0.05263157894736842,0.05,0.5,0.5,0.034,0.012017952739168615793536839259484987836974630297386
0.05263157894736842,0.05,0.5,0.5,0.036,0.012236799124213355597020341163223090260030098524217
0.05263157894736842,0.05,0.5,0.5,0.038,0.012442849542374812797721655239514077627443796804713
0.05263157894736842,0.05,0.5,0.5,0.04,0.012637739750677978183918155772554288296079414431245
0.05263157894736842,0.05,0.5,0.5,0.042,0.012822834882282547499651043819213518520531779492421
0.05263157894736842,0.05,0.5,0.5,0.044,0.012999281882066281414056676294903069239415363921228
0.05263157894736842,0.05,0.5,0.5,0.046,0.013168050532946375183928268648528734272003338096532
0.05263157894736842,0.05,0.5,0.5,0.048,0.013329965782680557230959882699696447559301302211818
0.05263157894736842,0.05,0.5,0.5,0.05,0.0134857333940765061835343206447730602026133892868
0.05263157894736842,0.05,0.5,0.5,0.052,0.01363596043673111127518350726967100610462988821997
0.05263157894736842,0.05,0.5,0.5,0.054,0.0137811717662945190427650382095892732655954124275
0.05263157894736842,0.05,0.5,0.5,0.056,0.0139218233617515710327031046872855152624170177236
0.05263157894736842,0.05,0.5,0.5,0.058,0.01405831318618985544972452734495932456663475900866
0.05263157894736842,0.05,0.5,0.5,0.06,0.01419099008307798136860673349333162118982747691254
0.05263157894736842,0.05,0.5,0.5,0.062,0.01432016110454372108341650773748411322009833391671
0.05263157894736842,0.05,0.5,0.5,0.064,0.01444609758061660088792607525763795299821067216492
0.05263157894736842,0.05,0.5,0.5,0.066,0.01456904017168206641730771128555297566904451919073
0.05263157894736842,0.05,0.5,0.5,0.068,0.01468920309522439988315661883893210434289436555209
0.05263157894736842,0.05,0.5,0.5,0.07,0.01480677767845158899787590376725303221671608873397
0.05263157894736842,0.05,0.5,0.5,0.072,0.0149219353577472218076897753913638086744956338302
0.05263157894736842,0.05,0.5,0.5,0.074,0.0150348302219667967947241839785111704620625544194
0.05263157894736842,0.05,0.5,0.5,0.076,0.01514560117780953087685012581161833103452875028428
0.05263157894736842,0.05,0.5,0.5,0.078,0.01525437380066635752828544840655740993783767400726
0.05263157894736842,0.05,0.5,0.5,0.08,0.01536126192257528449180939320750843291074474975851
0.05263157894736842,0.05,0.5,0.5,0.082,0.01546636899952703554757481387581993417662385664312
0.05263157894736842,0.05,0.5,0.5,0.084,0.01556978929283807761553156704080997106219243402953
0.05263157894736842,0.05,0.5,0.5,0.086,0.01567160889324644583630934238041193880535421547925
0.05263157894736842,0.05,0.5,0.5,0.088,0.01577190661148087007627778783963490789475511066364
0.05263157894736842,0.05,0.5,0.5,0.09,0.01587075475506716899294911719829834966579362199396
0.05263157894736842,0.05,0.5,0.5,0.092,0.01596821980788185745502282462055161736448738012693
0.05263157894736842,0.05,0.5,0.5,0.094,0.01606436302629581664516295980706343160192435666332
0.05263157894736842,0.05,0.5,0.5,0.096,0.01615924096355611058937544620177988336051850855675
0.05263157894736842,0.05,0.5,0.5,0.098,0.01625290593224099060265499741962376848211328519321
0.05263157894736842,0.05,0.5,0.5,0.1,0.01634540641311984889528627276805227524827907301158
0.05263157894736842,0.05,0.5,0.5,0.102,0.01643678741749896554127178887888794767367144936684
0.05263157894736842,0.05,0.5,0.5,0.104,0.01652709080908936460040928799811404115835267472245
0.05263157894736842,0.05,0.5,0.5,0.106,0.01661635559055798219151426380446828483105721568056
0.05263157894736842,0.05,0.5,0.5,0.108,0.01670461815918780086723049718580215110694857654289
0.05263157894736842,0.05,0.5,0.5,0.11,0.01679191253545242861323524292225008105573628389178
0.05263157894736842,0.05,0.5,0.5,0.112,0.01687827056778611889092527580769968722634773024164
0.05263157894736842,0.05,0.5,0.5,0.114,0.01696372211638537657348857783461286511439163613755
0.05263157894736842,0.05,0.5,0.5,0.116,0.0170482952184999148356721606498851188073748897138
0.05263157894736842,0.05,0.5,0.5,0.118,0.01713201623734800515051765483210100469442196736138
0.05263157894736842,0.05,0.5,0.5,0.12,0.01721490999651527895023554092555827104575949003956
0.05263157894736842,0.05,0.5,0.5,0.122,0.01729699990145941892358135199117637248052216733495
0.05263157894736842,0.05,0.5,0.5,0.124,0.0173783080495398002623601648933079222814310834698
0.05263157894736842,0.05,0.5,0.5,0.126,0.0174588553298159145431452290613172526649309027596
0.05263157894736842,0.05,0.5,0.5,0.128,0.01753866151370708101643611667541313506283930425812
0.05263157894736842,0.05,0.5,0.5,0.13,0.017617745337474964799060237311799731580997516219
0.05263157894736842,0.05,0.5,0.5,0.132,0.01769612457737679383036730958636467886570612466417
0.05263157894736842,0.05,0.5,0.5,0.134,0.01777381611823838491655138405984273113864560849327
0.05263157894736842,0.05,0.5,0.5,0.136,0.01785083601611003514075176412097532437897672237214
0.05263157894736842,0.05,0.5,0.5,0.138,0.01792719955559321674641036483583905998074977460546
0.05263157894736842,0.05,0.5,0.5,0.14,0.01800292130236031254266244714226039470093841104331
0.05263157894736842,0.05,0.5,0.5,0.142,0.01807801515133205442316426405730152025010009313452
0.05263157894736842,0.05,0.5,0.5,0.144,0.01815249437092678065411014356529514983234413789065
0.05263157894736842,0.05,0.5,0.5,0.146,0.01822637164375117003416688943599073788649383843259
0.05263157894736842,0.05,0.5,0.5,0.148,0.01829965910406294034924780044567958221336069510455
0.05263157894736842,0.05,0.5,0.5,0.15,0.01837236837230142679423769011760650107447729842538
0.05263157894736842,0.05,0.5,0.5,0.152,0.01844451058695139225913958824830117853482702252359
0.05263157894736842,0.05,0.5,0.5,0.154,0.01851609643397835692046827251361988623193780448787
0.05263157894736842,0.05,0.5,0.5,0.156,0.01858713617404973075702659070663372121247131437742
0.05263157894736842,0.05,0.5,0.5,0.158,0.0186576396677347103641709385805955979629278770979
0.05263157894736842,0.05,0.5,0.5,0.16,0.01872761639885693262335080312406813856885375162772
0.05263157894736842,0.05,0.5,0.5,0.162,0.01879707549615697779985493416656433655149917669639
0.05263157894736842,0.05,0.5,0.5,0.164,0.01886602575340673623228200304883206431053264080887
0.05263157894736842,0.05,0.5,0.5,0.166,0.01893447564810418074797753066950938461816830711084
0.05263157894736842,0.05,0.5,0.5,0.168,0.01900243335886503368467890684497155566956459828312
0.05263157894736842,0.05,0.5,0.5,0.17,0.01906990678161701909685995252868933487602151138413
0.05263157894736842,0.05,0.5,0.5,0.172,0.0191369035446927040887966955776933121065979868696
0.05263157894736842,0.05,0.5,0.5,0.174,0.01920343102290823272219927797964685858768406415823
0.05263157894736842,0.05,0.5,0.5,0.176,0.01926949635070743146349055850457691216385406513782
0.05263157894736842,0.05,0.5,0.5,0.178,0.01933510643444371989257733480068658525066632604662
0.05263157894736842,0.05,0.5,0.5,0.18,0.01940026796386590923256968581268965753473166097635
0.05263157894736842,0.05,0.5,0.5,0.182,0.01946498742286823913119087096244197781302849030732
0.05263157894736842,0.05,0.5,0.5,0.184,0.01952927109955982380006433700435658246037511919319
0.05263157894736842,0.05,0.5,0.5,0.186,0.01959312509570399356912976192407769584828695387122
0.05263157894736842,0.05,0.5,0.5,0.188,0.01965655533557377534729463351538524471080592982246
0.05263157894736842,0.05,0.5,0.5,0.19,0.01971956757426590950420316834583614325587773958785
0.05263157894736842,0.05,0.5,0.5,0.192,0.01978216740551231058409110902316408062864055670277
0.05263157894736842,0.05,0.5,0.5,0.194,0.01984436026902470885936930349420837116480494710309
0.05263157894736842,0.05,0.5,0.5,0.196,0.01990615145740532685560808739034899379710718205129
0.05263157894736842,0.05,0.5,0.5,0.198,0.01996754612265382097945002201885629286489234856563
0.05263157894736842,0.05,0.5,0.5,0.2,0.02002854928229832771095891690962068697795383848701
0.05263157894736842,0.05,0.5,0.5,0.202,0.02008916582517627367888661676636863355939082016621
0.05263157894736842,0.05,0.5,0.5,0.204,0.02014940051688861894301547642473296183816884980542
0.05263157894736842,0.05,0.5,0.5,0.206,0.02020925800494938473038545062221275417053373047171
0.05263157894736842,0.05,0.5,0.5,0.208,0.02026874282365065438262474788185620327844243026312
0.05263157894736842,0.05,0.5,0.5,0.21,0.02032785939866171472876358012562940766222072235628
0.05263157894736842,0.05,0.5,0.5,0.212,0.02038661205137961136059477533653330064434962705369
0.05263157894736842,0.05,0.5,0.5,0.214,0.02044500500304711354853104813812172092232820389735
0.05263157894736842,0.05,0.5,0.5,0.216,0.02050304237865291217537578946009159197004150690316
0.05263157894736842,0.05,0.5,0.5,0.218,0.02056072821062779752253406136031046002628394558775
0.05263157894736842,0.05,0.5,0.5,0.22,0.02061806644234957440170022702490834910672962454288
0.05263157894736842,0.05,0.5,0.5,0.222,0.02067506093146856221259810945651942316437777923976
0.05263157894736842,0.05,0.5,0.5,0.224,0.0207317154530646900061413761188081173646038060096
0.05263157894736842,0.05,0.5,0.5,0.226,0.02078803370264642520009519634439624051932301057121
0.05263157894736842,0.05,0.5,0.5,0.228,0.0208440192990010634938314652518292334544162903936
0.05263157894736842,0.05,0.5,0.5,0.23,0.02089967578690525156576071250114968941251713726047
0.05263157894736842,0.05,0.5,0.5,0.232,0.02095500663970400860448406974973322049883842294624
0.05263157894736842,0.05,0.5,0.5,0.234,0.02101001526176595335352880839275764205108459630673
0.05263157894736842,0.05,0.5,0.5,0.236,0.02106470499082192626447109036938296910302509736955
0.05263157894736842,0.05,0.5,0.5,0.238,0.02111907910019371803366083800884426958536894732032
0.05263157894736842,0.05,0.5,0.5,0.24,0.0211731408009191730425145002104004446252118165995
0.05263157894736842,0.05,0.5,0.5,0.242,0.0212268932437795261174686165466352921396779884491
0.05263157894736842,0.05,0.5,0.5,0.244,0.02128033952123445092034848644117727257742181584503
0.05263157894736842,0.05,0.5,0.5,0.246,0.02133348266926994575526561968556638482727504115893
0.05263157894736842,0.05,0.5,0.5,0.248,0.02138632566916385542887265542399706316206024772206
0.05263157894736842,0.05,0.5,0.5,0.25,0.02143887144917352401383093622917476493988491295335
0.05263157894736842,0.05,0.5,0.5,0.252,0.0214911228861497911018035800740850206855740545866
0.05263157894736842,0.05,0.5,0.5,0.254,0.02154308280708128171116165176104649181836221185525
0.05263157894736842,0.05,0.5,0.5,0.256,0.02159475399057269589807571939869784930094133482625
0.05263157894736842,0.05,0.5,0.5,0.258,0.02164613916826057689996229774267186195031330849273
0.05263157894736842,0.05,0.5,0.5,0.26,0.02169724102616982502768625500523676381475520032586
0.05263157894736842,0.05,0.5,0.5,0.262,0.02174806220601402733520505523062937523389633729476
0.05263157894736842,0.05,0.5,0.5,0.264,0.02179860530644248924791819534882578079551412210271
