"sf","sm","hf","hm","r","sI"
0.05,0.05,0.25,0.25,0.002,0.00176844184129086680057664316276188443421579271425
0.05,0.05,0.25,0.25,0.004,0.003205226122178877531441266103987351297805426601618
0.05,0.05,0.25,0.25,0.006,0.004392551283522409282830985302995497348254639002833
0.05,0.05,0.25,0.25,0.008,0.005376378652559586505089174653185823758788271074038
0.05,0.05,0.25,0.25,0.01,0.006193127104209210276806238078997172356934624241941
0.05,0.05,0.25,0.25,0.012,0.006873625400081072661434383780614609185365526634219
0.05,0.05,0.25,0.25,0.014,0.007443755994067268610087426464435491949366259494396
0.05,0.05,0.25,0.25,0.016,0.007924765786656655748379834926359169196293494116189
0.05,0.05,0.25,0.25,0.018,0.008333764226521694514064793536324559079526675539997
0.05,0.05,0.25,0.25,0.02,0.008684361398356424728188443253606019741946803278506
0.05,0.05,0.25,0.25,0.022,0.008987321764117677163054060755776937446863721442661
0.05,0.05,0.25,0.25,0.024,0.00925115263356050735389932117010423222014064644147
0.05,0.05,0.25,0.25,0.026,0.009482595673350153655266351329227111897467267209111
0.05,0.05,0.25,0.25,0.028,0.009687019951371761860806522292700542865551992360932
0.05,0.05,0.25,0.25,0.03,0.009868728586878358494001014805985579022694431222247
0.05,0.05,0.25,0.25,0.032,0.010031194925277840463145281529911686265204737753426
0.05,0.05,0.25,0.25,0.034,0.010177243443625901023034750133192613484937376963076
0.05,0.05,0.25,0.25,0.036,0.010309188227290631357023051927809433558772622738296
0.05,0.05,0.25,0.25,0.038,0.010428939223141930088946827556405535803024687860326
0.05,0.05,0.25,0.25,0.04,0.010538084122695781074763487568954219998474086576747
0.05,0.05,0.25,0.25,0.042,0.010637951815928767794956465433531269159196466350743
0.05,0.05,0.25,0.25,0.044,0.010729661872352044412285003261572796931836087638933
0.05,0.05,0.25,0.25,0.046,0.010814163382958402181476805872635084496826230535306
0.05,0.05,0.25,0.25,0.048,0.010892265658088093373114984836170944878239962831294
0.05,0.05,0.25,0.25,0.05,0.010964662653877309684167563033744433943737653252038
0.05,0.05,0.25,0.25,0.052,0.011031952538795461632263349132577631379912969130492
0.05,0.05,0.25,0.25,0.054,0.011094653469678287620470521697100403906283199272789
0.05,0.05,0.25,0.25,0.056,0.011153216392116031951339021563740397671500474570206
0.05,0.05,0.25,0.25,0.058,0.011208035489848865295379800987883858285053957149573
0.05,0.05,0.25,0.25,0.06,0.0112594567649778866618513518740738400135635726379
0.05,0.05,0.25,0.25,0.062,0.011307785122934298703505871465959577803244044882006
0.05,0.05,0.25,0.25,0.064,0.011353290254224827506977156620409039327449419193914
0.05,0.05,0.25,0.25,0.066,0.011396211542380474476535005217952058217099765188769
0.05,0.05,0.25,0.25,0.068,0.011436762179430383789474802622866893223940398684424
0.05,0.05,0.25,0.25,0.07,0.011475132633031181560632397350494961090243598831194
0.05,0.05,0.25,0.25,0.072,0.011511493580460325172170184077752553109616914626219
0.05,0.05,0.25,0.25,0.074,0.011545998402062096910332626105650506051095893075903
0.05,0.05,0.25,0.25,0.076,0.011578785308944784379373491204395446551012727855471
0.05,0.05,0.25,0.25,0.078,0.01160997916565994660008577241484558142132919552331
0.05,0.05,0.25,0.25,0.08,0.011639693057411878533647244093200298428946546591966
0.05,0.05,0.25,0.25,0.082,0.01166802964241043892087550117050693095467083147012
0.05,0.05,0.25,0.25,0.084,0.011695082322806187104054723100886557221443164900615
0.05,0.05,0.25,0.25,0.086,0.011720936261858813708499066747081877223171517718596
0.05,0.05,0.25,0.25,0.088,0.011745669270298761434795819622619506695526008669895
0.05,0.05,0.25,0.25,0.09,0.011769352581022936085315970953257528745819914959481
0.05,0.05,0.25,0.25,0.092,0.011792051528143035869161747529285712893112756145653
0.05,0.05,0.25,0.25,0.094,0.011813826143841638512711137401523761620336707442994
0.05,0.05,0.25,0.25,0.096,0.011834731684378303284960307287354533909595188425276
0.05,0.05,0.25,0.25,0.098,0.011854819094839683252466005603646799600684233348187
0.05,0.05,0.25,0.25,0.1,0.011874135420775700791689637254071606816720801098519
0.05,0.05,0.25,0.25,0.102,0.011892724173653665258188304779914236316798661412575
0.05,0.05,0.25,0.25,0.104,0.011910625656050053972672228781122014114914490896527
0.05,0.05,0.25,0.25,0.106,0.011927877251650303924148727142251065253546562927406
0.05,0.05,0.25,0.25,0.108,0.011944513684411888445994466084325560447869801667811
0.05,0.05,0.25,0.25,0.11,0.011960567250642065816234542447938491109693153345728
0.05,0.05,0.25,0.25,0.112,0.011976068027230158037925627605928655322534732301109
0.05,0.05,0.25,0.25,0.114,0.011991044058839658197779995406698037672779127943886
0.05,0.05,0.25,0.25,0.116,0.012005521526495250298180721824754762344512115155198
0.05,0.05,0.25,0.25,0.118,0.01201952489968356712332062089432651466400163517168
0.05,0.05,0.25,0.25,0.12,0.012033077073815631359637304436758398408970339701478
0.05,0.05,0.25,0.25,0.122,0.012046199494666317638910962926020241557674661588464
0.05,0.05,0.25,0.25,0.124,0.012058912271205935233967421942339252190447107778495
0.05,0.05,0.25,0.25,0.126,0.012071234278066243746377663024987906637503988700124
0.05,0.05,0.25,0.25,0.128,0.012083183248733766453877262163406480661141131340553
0.05,0.05,0.25,0.25,0.13,0.012094775860433713029604197806756536507492346254432
0.05,0.05,0.25,0.25,0.132,0.01210602781155527024265511314562240689870812779932
0.05,0.05,0.25,0.25,0.134,0.012116953892371027004661078675868241073852960086736
0.05,0.05,0.25,0.25,0.136,0.012127568049717808556522161755916267691186296649258
0.05,0.05,0.25,0.25,0.138,0.012137883446231459150037052686194616311650399648355
0.05,0.05,0.25,0.25,0.14,0.012147912514662652430493858426581786167598224229997
0.05,0.05,0.25,0.25,0.142,0.012157667007743363908461469854707927735972110150457
0.05,0.05,0.25,0.25,0.144,0.012167158044023135939715438624098357230545874661099
0.05,0.05,0.25,0.25,0.146,0.012176396150049784159451226915739766702685222192027
0.05,0.05,0.25,0.25,0.148,0.012185391299229948728501360165748052152706237629962
0.05,0.05,0.25,0.25,0.15,0.012194152947670208850592281470912123961587768894918
0.05,0.05,0.25,0.25,0.152,0.012202690067268774059504427230119292421903278611831
0.05,0.05,0.25,0.25,0.154,0.012211011176300540233549406884763673044904225225556
0.05,0.05,0.25,0.25,0.156,0.012219124367714119956812044256059872403671881286053
0.05,0.05,0.25,0.25,0.158,0.012227037335337951769257972814868706610035668018914
0.05,0.05,0.25,0.25,0.16,0.012234757398173436903367945957618964785073196509111
0.05,0.05,0.25,0.25,0.162,0.012242291522935963835860409794986309219702673135567
0.05,0.05,0.25,0.25,0.164,0.012249646344989415552688377476004811831104727004335
0.05,0.05,0.25,0.25,0.166,0.012256828187806098486147646681866304268193292063066
0.05,0.05,0.25,0.25,0.168,0.012263843081071799413106527234889902565901531584065
0.05,0.05,0.25,0.25,0.17,0.012270696777544704391698710270347459773018338958292
0.05,0.05,0.25,0.25,0.172,0.012277394768767059487756095066003400466804647550579
0.05,0.05,0.25,0.25,0.174,0.012283942299719591556499842972805988459262580623947
0.05,0.05,0.25,0.25,0.176,0.012290344382500728858820574630237811661336921957956
0.05,0.05,0.25,0.25,0.178,0.012296605809105469175511038661546020781049706620977
0.05,0.05,0.25,0.25,0.18,0.012302731163372252205683084008993115680423133359504
0.05,0.05,0.25,0.25,0.182,0.0123087248321603282884380662485306804845242168662
0.05,0.05,0.25,0.25,0.184,0.012314591015814810510643753479883500618641465028341
0.05,0.05,0.25,0.25,0.186,0.012320333737971793349659299807185207947057973409962
0.05,0.05,0.25,0.25,0.188,0.012325956854751566138048374105392665731758532440414
0.05,0.05,0.25,0.25,0.19,0.012331464063383997691756315100978912633346586869153
0.05,0.05,0.25,0.25,0.192,0.012336858910306578436029823426965688968240411477155
0.05,0.05,0.25,0.25,0.194,0.012342144798772341852353467973616305889220397975048
